fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,bus,0.94,1,1402,52,1918,476,MATRICULA,None,None,None,None,None,None
1,car,0.85,2,1321,312,1398,371,MATRICULA,None,None,None,None,None,None
2,bus,0.94,1,1402,56,1918,471,MATRICULA,0.014137358404695988,1887,410,1917,422,V823
2,car,0.82,2,1321,312,1397,371,MATRICULA,None,None,None,None,None,None
3,bus,0.94,1,1395,63,1918,467,MATRICULA,0.16261133256501312,1869,409,1918,423,62
3,car,0.82,2,1320,312,1395,371,MATRICULA,None,None,None,None,None,None
4,bus,0.9,1,1389,67,1918,466,MATRICULA,0.3631725665291583,1854,408,1918,423,4
4,car,0.84,2,1318,312,1395,371,MATRICULA,None,None,None,None,None,None
5,bus,0.93,1,1390,72,1918,464,MATRICULA,0.024043718363376352,1837,407,1900,419,A6
5,car,0.82,2,1316,312,1394,371,MATRICULA,None,None,None,None,None,None
6,bus,0.94,1,1392,76,1918,462,MATRICULA,0.15182472038080963,1823,405,1886,418,E
6,car,0.81,2,1316,312,1392,370,MATRICULA,None,None,None,None,None,None
7,bus,0.94,1,1391,79,1918,461,MATRICULA,0.212571983686459,1808,404,1871,418,222
7,car,0.8,2,1316,312,1390,370,MATRICULA,None,None,None,None,None,None
8,bus,0.94,1,1388,84,1918,458,MATRICULA,0.13368863319086488,1796,402,1856,415,EE2
8,car,0.79,2,1314,312,1389,369,MATRICULA,None,None,None,None,None,None
9,bus,0.94,1,1386,88,1918,457,MATRICULA,0.06250586125152931,1782,400,1841,413,V2
9,car,0.79,2,1313,312,1387,368,MATRICULA,None,None,None,None,None,None
10,bus,0.95,1,1383,92,1918,457,MATRICULA,0.47408619645045663,1771,400,1829,413,222
10,car,0.81,2,1311,312,1386,368,MATRICULA,None,None,None,None,None,None
11,bus,0.94,1,1382,96,1918,456,MATRICULA,0.04844983082380869,1758,398,1816,410,682022
11,car,0.81,2,1310,312,1385,367,MATRICULA,None,None,None,None,None,None
12,bus,0.93,1,1382,97,1918,455,MATRICULA,0.11317783461760289,1745,397,1803,410,2
12,car,0.79,2,1309,312,1384,368,MATRICULA,None,None,None,None,None,None
13,bus,0.94,1,1382,101,1915,453,MATRICULA,0.06316304684948779,1735,394,1790,407,A2
13,car,0.79,2,1309,312,1382,368,MATRICULA,None,None,None,None,None,None
14,bus,0.93,1,1381,104,1903,451,MATRICULA,0.11750561740724445,1724,393,1778,406,E7
14,car,0.8,2,1309,312,1380,368,MATRICULA,None,None,None,None,None,None
15,bus,0.92,1,1380,107,1889,451,MATRICULA,0.1239909584892871,1714,393,1767,405,2
15,car,0.78,2,1309,312,1378,368,MATRICULA,None,None,None,None,None,None
16,bus,0.93,1,1378,111,1872,450,MATRICULA,0.08808692048234959,1704,392,1757,403,V22
16,car,0.78,2,1308,312,1375,367,MATRICULA,None,None,None,None,None,None
17,bus,0.92,1,1376,114,1866,449,MATRICULA,0.013236277966705907,1694,391,1746,402,72
17,car,0.79,2,1308,313,1374,367,MATRICULA,None,None,None,None,None,None
18,bus,0.91,1,1376,117,1858,450,MATRICULA,0.19057224222468924,1684,390,1736,402,62E
18,car,0.78,2,1308,313,1373,366,MATRICULA,None,None,None,None,None,None
19,bus,0.92,1,1375,121,1840,448,MATRICULA,0.048052383198675774,1676,389,1726,400,72
19,car,0.77,2,1308,313,1372,367,MATRICULA,None,None,None,None,None,None
20,bus,0.93,1,1374,125,1826,446,MATRICULA,0.04306616634130478,1668,388,1718,399,2422
20,car,0.79,2,1308,314,1370,367,MATRICULA,None,None,None,None,None,None
21,bus,0.92,1,1372,127,1816,444,MATRICULA,0.2898000431019341,1660,388,1708,398,J
21,car,0.76,2,1308,313,1369,368,MATRICULA,None,None,None,None,None,None
22,bus,0.92,1,1371,132,1809,442,MATRICULA,0.08178925719234087,1650,386,1700,397,V
22,car,0.74,2,1308,313,1368,368,MATRICULA,None,None,None,None,None,None
23,bus,0.92,1,1369,135,1808,442,MATRICULA,None,None,None,None,None,None
23,car,0.75,2,1308,313,1366,367,MATRICULA,None,None,None,None,None,None
24,bus,0.91,1,1369,140,1804,441,MATRICULA,0.3600525302974802,1635,385,1682,396,2
24,car,0.72,2,1308,313,1366,366,MATRICULA,None,None,None,None,None,None
25,bus,0.89,1,1368,142,1787,441,MATRICULA,0.012668017736882684,1628,385,1676,395,ES2
25,car,0.71,2,1308,312,1366,366,MATRICULA,None,None,None,None,None,None
26,bus,0.91,1,1367,143,1771,441,MATRICULA,0.3225217061973848,1622,384,1671,394,15
26,car,0.71,2,1308,312,1365,366,MATRICULA,None,None,None,None,None,None
27,bus,0.9,1,1366,145,1760,440,MATRICULA,0.12114720333633588,1615,383,1660,393,1
27,car,0.69,2,1308,311,1365,365,MATRICULA,None,None,None,None,None,None
28,bus,0.9,1,1364,148,1745,437,MATRICULA,0.51329868910058,1608,383,1652,393,C
28,car,0.68,2,1308,310,1364,366,MATRICULA,None,None,None,None,None,None
29,bus,0.91,1,1363,150,1736,436,MATRICULA,0.016823520642126406,1602,382,1645,391,J2
29,car,0.65,2,1307,309,1364,365,MATRICULA,None,None,None,None,None,None
30,bus,0.9,1,1363,152,1731,437,MATRICULA,0.05056026279572223,1596,381,1641,390,J
30,car,0.63,2,1307,308,1362,365,MATRICULA,None,None,None,None,None,None
31,bus,0.91,1,1361,153,1727,433,MATRICULA,None,None,None,None,None,None
31,car,0.62,2,1306,307,1359,364,MATRICULA,None,None,None,None,None,None
32,bus,0.9,1,1360,155,1726,430,MATRICULA,0.016485175802258365,1584,378,1626,388,DSE
32,car,0.64,2,1305,308,1357,363,MATRICULA,None,None,None,None,None,None
33,bus,0.92,1,1360,158,1712,426,MATRICULA,0.0958437241749488,1577,377,1620,387,2
33,car,0.65,2,1304,308,1356,363,MATRICULA,None,None,None,None,None,None
34,bus,0.93,1,1358,160,1701,426,MATRICULA,0.15163737757126228,1573,376,1614,385,A
34,car,0.63,2,1303,308,1355,363,MATRICULA,None,None,None,None,None,None
35,bus,0.93,1,1355,161,1694,429,MATRICULA,None,None,None,None,None,None
35,car,0.62,2,1302,308,1354,363,MATRICULA,None,None,None,None,None,None
36,bus,0.92,1,1355,163,1691,429,MATRICULA,0.061126228417862416,1562,374,1604,384,0
36,car,0.6,2,1302,309,1352,362,MATRICULA,None,None,None,None,None,None
37,bus,0.93,1,1355,166,1681,427,MATRICULA,0.44272911807196635,1556,375,1596,383,E
37,car,0.61,2,1302,310,1351,362,MATRICULA,None,None,None,None,None,None
38,bus,0.92,1,1354,166,1674,425,MATRICULA,0.02357512198626921,1550,373,1591,382,A
38,car,0.55,2,1302,311,1350,362,MATRICULA,None,None,None,None,None,None
39,bus,0.91,1,1352,168,1668,424,MATRICULA,0.015691302122926354,1546,373,1585,382,P
39,car,0.49,2,1302,313,1348,362,MATRICULA,None,None,None,None,None,None
40,bus,0.91,1,1351,167,1661,422,MATRICULA,0.020544597484290827,1541,372,1581,382,J
40,car,0.48,2,1302,314,1347,361,MATRICULA,None,None,None,None,None,None
41,bus,0.91,1,1349,169,1655,421,MATRICULA,0.016229373153024085,1537,371,1576,381,A
41,car,0.45,2,1302,314,1347,362,MATRICULA,None,None,None,None,None,None
42,bus,0.93,1,1349,172,1649,417,MATRICULA,0.11329149863605892,1533,372,1570,381,A
42,car,0.52,2,1303,315,1345,360,MATRICULA,None,None,None,None,None,None
43,bus,0.94,1,1346,175,1644,416,MATRICULA,None,None,None,None,None,None
43,car,0.47,2,1302,316,1344,360,MATRICULA,None,None,None,None,None,None
44,bus,0.93,1,1344,176,1637,415,MATRICULA,0.040384345862578636,1523,371,1561,380,JA
44,car,0.54,2,1302,316,1342,361,MATRICULA,None,None,None,None,None,None
45,bus,0.93,1,1343,178,1635,414,MATRICULA,0.46553260052702683,1520,371,1556,380,E
45,car,0.42,2,1300,316,1341,361,MATRICULA,None,None,None,None,None,None
46,bus,0.92,1,1342,179,1630,412,MATRICULA,0.024836125682288435,1515,370,1551,379,P
46,car,0.38,2,1300,315,1340,361,MATRICULA,None,None,None,None,None,None
47,bus,0.93,1,1341,181,1626,412,MATRICULA,0.03763346989973915,1511,370,1547,379,A
47,car,0.38,2,1300,313,1340,359,MATRICULA,None,None,None,None,None,None
48,bus,0.92,1,1341,182,1623,413,MATRICULA,0.2912087665503158,1508,370,1542,378,A
48,car,0.32,2,1300,313,1339,358,MATRICULA,None,None,None,None,None,None
49,bus,0.93,1,1340,184,1615,413,MATRICULA,0.08915508538484573,1504,370,1542,377,ALLE
49,car,0.29,2,1298,314,1338,357,MATRICULA,None,None,None,None,None,None
50,bus,0.92,1,1340,185,1612,412,MATRICULA,None,None,None,None,None,None
50,car,0.28,2,1297,315,1338,357,MATRICULA,None,None,None,None,None,None
51,bus,0.93,1,1340,188,1603,411,MATRICULA,None,None,None,None,None,None
51,car,0.3,2,1296,316,1338,359,MATRICULA,None,None,None,None,None,None
52,bus,0.94,1,1337,188,1598,411,MATRICULA,None,None,None,None,None,None
52,car,0.29,2,1295,318,1337,359,MATRICULA,None,None,None,None,None,None
53,bus,0.93,1,1336,189,1595,411,MATRICULA,None,None,None,None,None,None
53,car,0.28,2,1294,319,1337,361,MATRICULA,None,None,None,None,None,None
54,bus,0.93,1,1335,190,1591,411,MATRICULA,None,None,None,None,None,None
54,car,0.23,2,1293,318,1337,362,MATRICULA,None,None,None,None,None,None
55,bus,0.92,1,1334,191,1591,409,MATRICULA,0.013353594174325745,1482,367,1515,374,H
55,car,0.2,2,1293,314,1336,363,MATRICULA,None,None,None,None,None,None
56,bus,0.91,1,1334,191,1584,409,MATRICULA,None,None,None,None,None,None
56,car,0.2,2,1293,313,1336,361,MATRICULA,None,None,None,None,None,None
57,bus,0.91,1,1334,192,1579,408,MATRICULA,None,None,None,None,None,None
57,car,0.17,2,1293,312,1336,359,MATRICULA,None,None,None,None,None,None
58,bus,0.91,1,1334,192,1575,407,MATRICULA,None,None,None,None,None,None
58,car,0.18,2,1292,312,1333,356,MATRICULA,None,None,None,None,None,None
59,bus,0.92,1,1333,193,1570,406,MATRICULA,None,None,None,None,None,None
59,car,0.2,2,1292,313,1331,355,MATRICULA,None,None,None,None,None,None
60,bus,0.91,1,1332,195,1567,404,MATRICULA,None,None,None,None,None,None
60,car,0.23,2,1290,314,1330,356,MATRICULA,None,None,None,None,None,None
61,bus,0.9,1,1333,195,1563,404,MATRICULA,None,None,None,None,None,None
61,car,0.23,2,1290,315,1329,356,MATRICULA,None,None,None,None,None,None
62,bus,0.91,1,1333,196,1561,404,MATRICULA,None,None,None,None,None,None
62,car,0.3,2,1289,318,1328,357,MATRICULA,None,None,None,None,None,None
63,bus,0.91,1,1333,198,1555,405,MATRICULA,None,None,None,None,None,None
63,car,0.39,2,1289,321,1329,358,MATRICULA,None,None,None,None,None,None
64,bus,0.89,1,1330,198,1551,405,MATRICULA,None,None,None,None,None,None
64,car,0.41,2,1289,321,1328,358,MATRICULA,None,None,None,None,None,None
65,bus,0.87,1,1328,198,1548,403,MATRICULA,None,None,None,None,None,None
65,car,0.44,2,1288,319,1327,358,MATRICULA,None,None,None,None,None,None
66,bus,0.85,1,1327,199,1543,401,MATRICULA,None,None,None,None,None,None
66,car,0.44,2,1288,319,1326,359,MATRICULA,None,None,None,None,None,None
67,bus,0.81,1,1326,200,1539,400,MATRICULA,None,None,None,None,None,None
67,car,0.49,2,1287,319,1326,360,MATRICULA,None,None,None,None,None,None
68,bus,0.77,1,1325,201,1536,397,MATRICULA,None,None,None,None,None,None
68,car,0.46,2,1287,319,1325,359,MATRICULA,0.036197589183972534,1322,319,1325,325,3
69,bus,0.77,1,1324,202,1533,396,MATRICULA,None,None,None,None,None,None
69,car,0.47,2,1287,320,1325,359,MATRICULA,None,None,None,None,None,None
70,bus,0.75,1,1323,204,1530,395,MATRICULA,None,None,None,None,None,None
70,car,0.51,2,1286,320,1326,360,MATRICULA,None,None,None,None,None,None
71,bus,0.76,1,1324,205,1527,397,MATRICULA,None,None,None,None,None,None
71,car,0.45,2,1286,319,1326,358,MATRICULA,None,None,None,None,None,None
72,bus,0.76,1,1322,205,1524,396,MATRICULA,None,None,None,None,None,None
72,car,0.52,2,1286,319,1324,358,MATRICULA,None,None,None,None,None,None
73,bus,0.77,1,1320,208,1523,394,MATRICULA,None,None,None,None,None,None
73,car,0.61,2,1286,319,1323,358,MATRICULA,None,None,None,None,None,None
74,bus,0.79,1,1320,209,1520,393,MATRICULA,None,None,None,None,None,None
74,car,0.6,2,1286,320,1323,357,MATRICULA,None,None,None,None,None,None
75,bus,0.78,1,1320,210,1516,392,MATRICULA,None,None,None,None,None,None
75,car,0.59,2,1285,321,1322,356,MATRICULA,None,None,None,None,None,None
76,bus,0.79,1,1319,210,1513,392,MATRICULA,None,None,None,None,None,None
76,car,0.53,2,1285,321,1321,355,MATRICULA,None,None,None,None,None,None
77,bus,0.75,1,1319,211,1510,391,MATRICULA,None,None,None,None,None,None
77,car,0.51,2,1285,317,1320,356,MATRICULA,None,None,None,None,None,None
78,bus,0.69,1,1318,212,1507,391,MATRICULA,None,None,None,None,None,None
78,car,0.55,2,1285,316,1318,356,MATRICULA,None,None,None,None,None,None
79,bus,0.69,1,1318,212,1505,390,MATRICULA,None,None,None,None,None,None
79,car,0.51,2,1285,313,1318,356,MATRICULA,None,None,None,None,None,None
80,bus,0.61,1,1317,213,1503,390,MATRICULA,None,None,None,None,None,None
80,car,0.44,2,1284,311,1318,355,MATRICULA,None,None,None,None,None,None
81,bus,0.77,1,1316,214,1500,390,MATRICULA,None,None,None,None,None,None
81,car,0.4,2,1284,311,1318,356,MATRICULA,None,None,None,None,None,None
82,bus,0.8,1,1316,215,1499,389,MATRICULA,None,None,None,None,None,None
82,car,0.38,2,1284,312,1317,356,MATRICULA,None,None,None,None,None,None
83,bus,0.78,1,1316,215,1497,390,MATRICULA,None,None,None,None,None,None
83,car,0.37,2,1284,313,1316,356,MATRICULA,None,None,None,None,None,None
84,bus,0.78,1,1314,215,1495,389,MATRICULA,None,None,None,None,None,None
84,car,0.38,2,1283,313,1315,355,MATRICULA,None,None,None,None,None,None
85,bus,0.74,1,1314,215,1491,388,MATRICULA,None,None,None,None,None,None
85,car,0.31,2,1284,310,1315,354,MATRICULA,None,None,None,None,None,None
86,bus,0.71,1,1314,216,1489,388,MATRICULA,None,None,None,None,None,None
86,car,0.34,2,1284,308,1315,354,MATRICULA,None,None,None,None,None,None
87,bus,0.67,1,1316,216,1486,387,MATRICULA,None,None,None,None,None,None
87,car,0.25,2,1284,308,1314,354,MATRICULA,None,None,None,None,None,None
88,bus,0.51,1,1316,216,1485,386,MATRICULA,None,None,None,None,None,None
88,car,0.24,2,1283,308,1314,353,MATRICULA,None,None,None,None,None,None
89,bus,0.58,1,1315,216,1482,387,MATRICULA,None,None,None,None,None,None
89,car,0.32,2,1284,308,1314,352,MATRICULA,None,None,None,None,None,None
90,bus,0.62,1,1314,217,1480,385,MATRICULA,None,None,None,None,None,None
90,car,0.35,2,1283,306,1314,351,MATRICULA,None,None,None,None,None,None
91,truck,0.48,1,1313,218,1479,384,MATRICULA,None,None,None,None,None,None
91,car,0.31,2,1282,307,1313,352,MATRICULA,None,None,None,None,None,None
92,bus,0.47,1,1313,219,1477,383,MATRICULA,None,None,None,None,None,None
92,car,0.3,2,1280,310,1313,354,MATRICULA,None,None,None,None,None,None
93,bus,0.69,1,1314,220,1475,382,MATRICULA,None,None,None,None,None,None
93,car,0.28,2,1280,311,1312,354,MATRICULA,None,None,None,None,None,None
94,bus,0.52,1,1313,221,1471,382,MATRICULA,None,None,None,None,None,None
94,car,0.24,2,1280,311,1312,353,MATRICULA,None,None,None,None,None,None
95,bus,0.33,1,1312,223,1469,381,MATRICULA,None,None,None,None,None,None
95,car,0.3,2,1278,308,1312,352,MATRICULA,None,None,None,None,None,None
96,bus,0.53,1,1312,223,1466,381,MATRICULA,None,None,None,None,None,None
96,car,0.26,2,1277,306,1312,352,MATRICULA,None,None,None,None,None,None
96,person,0.76,3,0,236,52,490,MATRICULA,None,None,None,None,None,None
97,bus,0.71,1,1311,223,1464,381,MATRICULA,None,None,None,None,None,None
97,car,0.11,2,1277,302,1311,351,MATRICULA,None,None,None,None,None,None
97,person,0.8,3,0,234,58,488,MATRICULA,None,None,None,None,None,None
97,car,0.73,4,1449,319,1514,381,MATRICULA,None,None,None,None,None,None
98,bus,0.76,1,1311,224,1463,380,MATRICULA,None,None,None,None,None,None
98,car,0.13,2,1276,300,1311,350,MATRICULA,None,None,None,None,None,None
98,person,0.84,3,0,232,66,490,MATRICULA,None,None,None,None,None,None
98,car,0.72,4,1449,320,1514,381,MATRICULA,None,None,None,None,None,None
99,bus,0.73,1,1310,226,1461,380,MATRICULA,None,None,None,None,None,None
99,car,0.12,2,1276,300,1311,348,MATRICULA,None,None,None,None,None,None
99,person,0.83,3,0,234,71,490,MATRICULA,None,None,None,None,None,None
99,car,0.73,4,1446,320,1514,380,MATRICULA,None,None,None,None,None,None
100,bus,0.79,1,1310,226,1460,380,MATRICULA,None,None,None,None,None,None
100,car,0.13,2,1277,299,1311,347,MATRICULA,None,None,None,None,None,None
100,person,0.83,3,0,236,76,491,MATRICULA,None,None,None,None,None,None
100,car,0.72,4,1443,320,1514,380,MATRICULA,None,None,None,None,None,None
101,bus,0.81,1,1308,226,1459,378,MATRICULA,None,None,None,None,None,None
101,person,0.84,3,0,235,77,493,MATRICULA,None,None,None,None,None,None
101,car,0.68,4,1438,320,1516,381,MATRICULA,None,None,None,None,None,None
102,bus,0.71,1,1309,227,1458,379,MATRICULA,None,None,None,None,None,None
102,person,0.87,3,0,234,78,496,MATRICULA,None,None,None,None,None,None
102,car,0.7,4,1436,320,1516,381,MATRICULA,None,None,None,None,None,None
103,bus,0.79,1,1309,228,1457,378,MATRICULA,None,None,None,None,None,None
103,person,0.86,3,0,232,82,494,MATRICULA,None,None,None,None,None,None
103,car,0.7,4,1434,320,1517,382,MATRICULA,None,None,None,None,None,None
104,bus,0.77,1,1309,229,1456,379,MATRICULA,None,None,None,None,None,None
104,person,0.89,3,0,231,89,494,MATRICULA,None,None,None,None,None,None
104,car,0.72,4,1435,320,1518,382,MATRICULA,None,None,None,None,None,None
105,bus,0.63,1,1309,229,1455,379,MATRICULA,None,None,None,None,None,None
105,person,0.84,3,2,232,96,491,MATRICULA,None,None,None,None,None,None
105,car,0.73,4,1435,320,1519,382,MATRICULA,None,None,None,None,None,None
106,bus,0.78,1,1308,229,1453,379,MATRICULA,None,None,None,None,None,None
106,person,0.86,3,9,230,104,492,MATRICULA,None,None,None,None,None,None
106,car,0.73,4,1435,320,1519,382,MATRICULA,None,None,None,None,None,None
107,bus,0.76,1,1308,230,1450,379,MATRICULA,None,None,None,None,None,None
107,person,0.88,3,19,229,114,491,MATRICULA,None,None,None,None,None,None
107,car,0.74,4,1434,320,1519,382,MATRICULA,None,None,None,None,None,None
108,bus,0.66,1,1308,232,1446,378,MATRICULA,None,None,None,None,None,None
108,person,0.88,3,26,229,131,492,MATRICULA,None,None,None,None,None,None
108,car,0.74,4,1433,320,1519,381,MATRICULA,None,None,None,None,None,None
109,bus,0.66,1,1307,232,1445,378,MATRICULA,None,None,None,None,None,None
109,person,0.85,3,30,229,147,491,MATRICULA,None,None,None,None,None,None
109,car,0.74,4,1433,320,1519,381,MATRICULA,None,None,None,None,None,None
110,bus,0.77,1,1304,232,1445,378,MATRICULA,None,None,None,None,None,None
110,person,0.87,3,34,230,156,490,MATRICULA,None,None,None,None,None,None
110,car,0.75,4,1431,320,1518,381,MATRICULA,None,None,None,None,None,None
111,bus,0.76,1,1303,233,1443,377,MATRICULA,None,None,None,None,None,None
111,person,0.87,3,38,232,164,488,MATRICULA,None,None,None,None,None,None
111,car,0.76,4,1431,321,1518,381,MATRICULA,None,None,None,None,None,None
112,bus,0.7,1,1301,233,1440,377,MATRICULA,None,None,None,None,None,None
112,person,0.87,3,40,235,164,486,MATRICULA,None,None,None,None,None,None
112,car,0.76,4,1430,321,1518,381,MATRICULA,None,None,None,None,None,None
113,bus,0.6,1,1298,233,1437,377,MATRICULA,None,None,None,None,None,None
113,person,0.86,3,40,239,169,487,MATRICULA,None,None,None,None,None,None
113,car,0.77,4,1428,321,1517,381,MATRICULA,None,None,None,None,None,None
114,bus,0.51,1,1297,234,1435,377,MATRICULA,None,None,None,None,None,None
114,person,0.85,3,45,241,170,488,MATRICULA,None,None,None,None,None,None
114,car,0.78,4,1428,321,1517,382,MATRICULA,None,None,None,None,None,None
115,truck,0.57,1,1296,235,1433,377,MATRICULA,None,None,None,None,None,None
115,person,0.84,3,51,240,170,490,MATRICULA,None,None,None,None,None,None
115,car,0.8,4,1425,320,1517,382,MATRICULA,None,None,None,None,None,None
116,truck,0.51,1,1295,236,1431,377,MATRICULA,None,None,None,None,None,None
116,person,0.85,3,61,240,171,488,MATRICULA,None,None,None,None,None,None
116,car,0.79,4,1424,321,1517,382,MATRICULA,None,None,None,None,None,None
117,truck,0.51,1,1295,236,1430,376,MATRICULA,None,None,None,None,None,None
117,person,0.81,3,74,239,172,485,MATRICULA,None,None,None,None,None,None
117,car,0.79,4,1421,321,1517,382,MATRICULA,None,None,None,None,None,None
118,bus,0.56,1,1293,236,1429,375,MATRICULA,None,None,None,None,None,None
118,person,0.8,3,87,238,173,482,MATRICULA,None,None,None,None,None,None
118,car,0.8,4,1420,320,1517,382,MATRICULA,None,None,None,None,None,None
119,bus,0.61,1,1291,236,1429,374,MATRICULA,None,None,None,None,None,None
119,person,0.76,3,95,238,174,481,MATRICULA,None,None,None,None,None,None
119,car,0.8,4,1420,320,1516,382,MATRICULA,None,None,None,None,None,None
120,bus,0.65,1,1291,237,1428,374,MATRICULA,None,None,None,None,None,None
120,person,0.73,3,101,240,180,479,MATRICULA,None,None,None,None,None,None
120,car,0.8,4,1418,321,1516,382,MATRICULA,None,None,None,None,None,None
121,bus,0.69,1,1290,237,1427,374,MATRICULA,None,None,None,None,None,None
121,person,0.78,3,107,240,184,478,MATRICULA,None,None,None,None,None,None
121,car,0.77,4,1419,321,1517,382,MATRICULA,None,None,None,None,None,None
122,bus,0.69,1,1290,238,1427,373,MATRICULA,None,None,None,None,None,None
122,person,0.77,3,111,241,191,480,MATRICULA,None,None,None,None,None,None
122,car,0.75,4,1417,321,1517,382,MATRICULA,None,None,None,None,None,None
123,bus,0.67,1,1289,238,1427,373,MATRICULA,None,None,None,None,None,None
123,person,0.82,3,113,242,200,479,MATRICULA,None,None,None,None,None,None
123,car,0.74,4,1418,321,1517,382,MATRICULA,None,None,None,None,None,None
124,bus,0.66,1,1289,239,1425,373,MATRICULA,None,None,None,None,None,None
124,person,0.81,3,115,245,207,477,MATRICULA,None,None,None,None,None,None
124,car,0.75,4,1420,321,1517,382,MATRICULA,None,None,None,None,None,None
125,bus,0.66,1,1288,239,1423,373,MATRICULA,None,None,None,None,None,None
125,person,0.8,3,116,248,213,477,MATRICULA,None,None,None,None,None,None
125,car,0.76,4,1421,321,1517,382,MATRICULA,None,None,None,None,None,None
126,bus,0.67,1,1289,239,1421,373,MATRICULA,None,None,None,None,None,None
126,person,0.8,3,121,247,217,475,MATRICULA,None,None,None,None,None,None
126,car,0.75,4,1422,322,1517,381,MATRICULA,None,None,None,None,None,None
127,bus,0.66,1,1289,239,1419,372,MATRICULA,None,None,None,None,None,None
127,person,0.81,3,125,242,221,475,MATRICULA,None,None,None,None,None,None
127,car,0.75,4,1421,322,1516,381,MATRICULA,None,None,None,None,None,None
128,bus,0.72,1,1289,239,1419,371,MATRICULA,None,None,None,None,None,None
128,person,0.81,3,130,238,223,475,MATRICULA,None,None,None,None,None,None
128,car,0.75,4,1422,322,1516,382,MATRICULA,None,None,None,None,None,None
129,bus,0.75,1,1288,241,1416,371,MATRICULA,None,None,None,None,None,None
129,person,0.78,3,141,244,226,474,MATRICULA,None,None,None,None,None,None
129,car,0.74,4,1427,321,1516,381,MATRICULA,None,None,None,None,None,None
130,bus,0.71,1,1288,241,1416,370,MATRICULA,None,None,None,None,None,None
130,person,0.76,3,148,245,229,472,MATRICULA,None,None,None,None,None,None
130,car,0.72,4,1431,321,1516,381,MATRICULA,None,None,None,None,None,None
131,bus,0.7,1,1287,242,1415,369,MATRICULA,None,None,None,None,None,None
131,person,0.8,3,156,244,233,471,MATRICULA,None,None,None,None,None,None
131,car,0.72,4,1432,321,1516,381,MATRICULA,None,None,None,None,None,None
132,bus,0.72,1,1287,241,1413,369,MATRICULA,None,None,None,None,None,None
132,person,0.83,3,161,247,239,470,MATRICULA,None,None,None,None,None,None
132,car,0.72,4,1430,321,1515,381,MATRICULA,None,None,None,None,None,None
133,bus,0.71,1,1287,242,1411,368,MATRICULA,None,None,None,None,None,None
133,person,0.84,3,167,246,245,470,MATRICULA,None,None,None,None,None,None
133,car,0.73,4,1424,321,1515,381,MATRICULA,None,None,None,None,None,None
134,bus,0.58,1,1287,244,1410,367,MATRICULA,None,None,None,None,None,None
134,person,0.86,3,171,241,251,469,MATRICULA,None,None,None,None,None,None
134,car,0.72,4,1424,321,1515,381,MATRICULA,None,None,None,None,None,None
135,truck,0.56,1,1285,245,1409,368,MATRICULA,None,None,None,None,None,None
135,person,0.86,3,178,240,259,467,MATRICULA,None,None,None,None,None,None
135,car,0.72,4,1424,321,1514,382,MATRICULA,None,None,None,None,None,None
136,bus,0.67,1,1286,246,1408,367,MATRICULA,None,None,None,None,None,None
136,person,0.83,3,182,241,273,467,MATRICULA,None,None,None,None,None,None
136,car,0.71,4,1424,321,1513,382,MATRICULA,None,None,None,None,None,None
137,bus,0.72,1,1286,247,1408,367,MATRICULA,None,None,None,None,None,None
137,person,0.83,3,185,246,279,468,MATRICULA,None,None,None,None,None,None
137,car,0.72,4,1420,320,1513,382,MATRICULA,None,None,None,None,None,None
138,bus,0.64,1,1286,247,1407,367,MATRICULA,None,None,None,None,None,None
138,person,0.83,3,188,250,282,468,MATRICULA,None,None,None,None,None,None
138,car,0.71,4,1420,320,1514,382,MATRICULA,None,None,None,None,None,None
139,bus,0.67,1,1285,248,1405,367,MATRICULA,None,None,None,None,None,None
139,person,0.85,3,191,256,284,469,MATRICULA,None,None,None,None,None,None
139,car,0.71,4,1419,320,1514,382,MATRICULA,None,None,None,None,None,None
140,bus,0.7,1,1284,249,1404,368,MATRICULA,None,None,None,None,None,None
140,person,0.86,3,193,257,287,469,MATRICULA,None,None,None,None,None,None
140,car,0.7,4,1419,321,1514,382,MATRICULA,None,None,None,None,None,None
141,bus,0.71,1,1283,250,1403,367,MATRICULA,None,None,None,None,None,None
141,person,0.87,3,196,262,288,469,MATRICULA,None,None,None,None,None,None
141,car,0.7,4,1419,320,1515,382,MATRICULA,None,None,None,None,None,None
142,truck,0.54,1,1282,249,1402,367,MATRICULA,None,None,None,None,None,None
142,person,0.86,3,200,257,289,468,MATRICULA,None,None,None,None,None,None
142,car,0.7,4,1420,321,1515,382,MATRICULA,None,None,None,None,None,None
143,truck,0.57,1,1279,248,1400,367,MATRICULA,None,None,None,None,None,None
143,person,0.84,3,205,255,290,467,MATRICULA,None,None,None,None,None,None
143,car,0.69,4,1422,321,1514,381,MATRICULA,None,None,None,None,None,None
144,bus,0.55,1,1279,249,1396,366,MATRICULA,None,None,None,None,None,None
144,person,0.83,3,212,255,290,465,MATRICULA,None,None,None,None,None,None
144,car,0.69,4,1423,321,1516,382,MATRICULA,None,None,None,None,None,None
145,bus,0.57,1,1278,249,1393,365,MATRICULA,None,None,None,None,None,None
145,person,0.83,3,221,248,292,464,MATRICULA,None,None,None,None,None,None
145,car,0.68,4,1424,322,1516,382,MATRICULA,None,None,None,None,None,None
